lumpy,x,y,cld,dtr,frs,pet,pre,tmn
0,74.75,52.25,37.3,9.0,31.0,0.1,6.1,-25.6
1,22.986532,41.233411,77.1,6.9,22.97,0.6,27.7,-2.0
0,43.75,34.75,47.1,10.8,3.91,1.5,46.5,5.8
0,17.25,-23.75,45.0,14.7,0.0,6.0,53.0,19.2
0,88.25,65.25,89.9,6.0,31.0,0.0,27.6,-29.2
0,171.25,66.75,65.2,10.0,31.0,0.0,16.5,-31.6
1,80.660804,9.062135,44.1,5.0,0.0,4.1,127.7,23.9
0,54.25,54.75,66.7,7.3,31.0,0.2,30.1,-18.3
0,18.75,-23.25,50.0,14.2,0.0,5.3,58.0,18.7
0,41.75,47.25,80.0,5.8,28.17,0.2,26.2,-7.1
0,37.25,54.75,85.3,5.2,30.34,0.1,41.5,-10.7
0,46.25,31.75,38.3,11.3,2.17,1.9,28.9,6.9
0,130.25,49.75,38.0,11.6,31.0,0.0,4.0,-32.0
0,100.25,67.25,65.4,7.2,31.0,0.1,12.5,-36.2
0,33.25,29.75,36.0,11.5,1.42,2.5,2.2,7.5
0,52.75,33.25,45.5,11.8,22.73,1.3,15.2,-1.9
0,119.75,49.25,21.6,10.8,31.0,0.0,1.6,-32.2
1,20.244884,43.273642,81.1,5.8,26.19,0.7,46.1,-4.9
0,82.25,67.25,87.1,5.7,31.0,0.0,35.3,-25.4
0,36.25,52.75,81.6,4.8,30.12,0.2,37.8,-10.2
0,68.75,70.75,89.4,6.3,31.0,0.0,8.8,-26.2
0,17.25,-9.75,83.8,12.1,0.0,3.0,138.0,16.1
0,50.25,23.25,40.4,7.9,0.0,3.6,7.2,16.2
0,73.75,28.75,36.4,16.3,5.23,1.9,0.1,5.1
0,80.25,67.75,87.8,6.3,31.0,0.0,33.5,-25.6
0,135.25,49.25,50.1,7.4,31.0,0.1,10.8,-23.5
0,76.75,21.25,12.1,16.6,0.0,3.2,0.0,11.7
0,111.25,52.25,31.6,12.3,31.0,0.1,1.4,-34.5
0,41.25,23.75,45.4,12.5,0.0,4.1,7.5,11.4
0,48.25,67.25,83.3,7.9,31.0,0.0,31.7,-22.0
1,36.248124,37.436141,65.9,6.8,5.85,1.1,140.5,4.8
0,91.75,27.75,28.4,16.5,27.84,1.6,2.1,-6.7
1,23.796944,41.66,80.8,6.4,25.99,0.9,33.9,-4.7
0,153.25,67.25,88.8,8.3,31.0,0.0,18.0,-37.0
0,74.75,20.75,15.5,18.1,0.0,3.4,0.6,11.4
